,ts,value
573,2022-05-25 00:00:00,50
574,2022-05-25 01:00:00,50
575,2022-05-25 02:00:00,49
576,2022-05-25 03:00:00,49
577,2022-05-25 04:00:00,49
578,2022-05-25 05:00:00,49
579,2022-05-25 06:00:00,49
580,2022-05-25 07:00:00,49
581,2022-05-25 08:00:00,50
582,2022-05-25 09:00:00,51
583,2022-05-25 10:00:00,52
584,2022-05-25 11:00:00,51
585,2022-05-25 12:00:00,51
586,2022-05-25 13:00:00,52
587,2022-05-25 14:00:00,52
588,2022-05-25 15:00:00,52
589,2022-05-25 16:00:00,52
590,2022-05-25 17:00:00,52
591,2022-05-25 18:00:00,52
592,2022-05-25 19:00:00,52
593,2022-05-25 20:00:00,51
594,2022-05-25 21:00:00,51
595,2022-05-25 22:00:00,51
596,2022-05-25 23:00:00,50
597,2022-05-26 00:00:00,50
598,2022-05-26 01:00:00,49
599,2022-05-26 02:00:00,49
600,2022-05-26 03:00:00,49
601,2022-05-26 04:00:00,49
602,2022-05-26 05:00:00,49
603,2022-05-26 06:00:00,49
604,2022-05-26 07:00:00,51
605,2022-05-26 08:00:00,53
606,2022-05-26 09:00:00,54
607,2022-05-26 10:00:00,55
608,2022-05-26 11:00:00,55
609,2022-05-26 12:00:00,55
610,2022-05-26 13:00:00,55
611,2022-05-26 14:00:00,54
612,2022-05-26 15:00:00,54
613,2022-05-26 16:00:00,54
614,2022-05-26 17:00:00,54
615,2022-05-26 18:00:00,53
616,2022-05-26 19:00:00,52
617,2022-05-26 20:00:00,52
618,2022-05-26 21:00:00,52
619,2022-05-26 22:00:00,52
620,2022-05-26 23:00:00,51
621,2022-05-27 00:00:00,51
622,2022-05-27 01:00:00,51
623,2022-05-27 02:00:00,51
624,2022-05-27 03:00:00,50
625,2022-05-27 04:00:00,50
626,2022-05-27 05:00:00,51
627,2022-05-27 06:00:00,50
628,2022-05-27 07:00:00,51
629,2022-05-27 08:00:00,52
630,2022-05-27 09:00:00,52
631,2022-05-27 10:00:00,52
632,2022-05-27 11:00:00,52
633,2022-05-27 12:00:00,52
634,2022-05-27 13:00:00,53
635,2022-05-27 14:00:00,53
636,2022-05-27 15:00:00,53
637,2022-05-27 16:00:00,53
638,2022-05-27 17:00:00,53
639,2022-05-27 18:00:00,52
640,2022-05-27 19:00:00,52
641,2022-05-27 20:00:00,52
642,2022-05-27 21:00:00,52
643,2022-05-27 22:00:00,52
644,2022-05-27 23:00:00,51
645,2022-05-28 00:00:00,51
646,2022-05-28 01:00:00,51
647,2022-05-28 02:00:00,51
648,2022-05-28 03:00:00,51
649,2022-05-28 04:00:00,51
650,2022-05-28 05:00:00,52
651,2022-05-28 06:00:00,51
652,2022-05-28 07:00:00,51
653,2022-05-28 08:00:00,51
654,2022-05-28 09:00:00,51
655,2022-05-28 10:00:00,51
656,2022-05-28 11:00:00,51
657,2022-05-28 12:00:00,52
658,2022-05-28 13:00:00,52
659,2022-05-28 14:00:00,53
660,2022-05-28 15:00:00,52
